epoch;loss;
0;0.263700873;226.2%
1;0.028726032;47.7%
2;0.015505688;33.2%
3;0.01046586;26.6%
4;0.006194673;19.9%
5;0.004900998;17.5%
6;0.003988175;15.7%
7;0.003358389;14.3%
8;0.003070231;13.6%
9;0.003342235;14.2%
10;0.00640959;20.2%
11;0.005189859;18.0%
12;0.003828933;15.3%
13;0.002880978;13.2%
14;0.005674069;18.9%
15;0.004322304;16.3%
16;0.003111607;13.7%
17;0.003011498;13.5%
18;0.003580997;14.8%
19;0.002954799;13.3%
20;0.002872348;13.1%
21;0.003332966;14.2%
22;0.004352131;16.4%
23;0.003088698;13.7%
24;0.003210556;13.9%
25;0.002822394;13.0%
26;0.004601011;16.9%
27;0.003619628;14.9%
28;0.003197068;13.9%
29;0.002855579;13.1%
